Example_Number,SMILES,Chemical_Name,TR-FRET assay protocol,Ki_BDI_uM,Ki_BDII_uM,Cellular proliferation: EC50 (μM)
214,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1C(CN4)C4=CC=CC=C4)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-3-phenyl-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.0408,0.00325,0.431
215,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1[C@@H](CN4)C4=CC=CC=C4)C(N(C=C3)C)=O)CS(=O)(=O)C,"(R)-4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-3-phenyl-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.0657,0.00587,0.454
216,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1[C@H](CN4)C4=CC=CC=C4)C(N(C=C3)C)=O)CS(=O)(=O)C,"(S)-4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-3-phenyl-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.0573,0.0658,0.603
217,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1C(CN4)C4=CC=CC1=CC=CC=C41)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-3-(naphthalen-1-yl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.193,0.0426,> 1
218,,"4-(2,4-difluorophenyl)-(3,3 2H)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen11(10H)-one",G,0.00064,0.00064,0.00136
219,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1C(CN4)CC(C)(C)C)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-3-neopentyl-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.0399,0.00476,0.301
220,,"4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-3-((l-oxoisoindolin-2-yl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.0516,0.00261,0.285
221,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1C(CN4)C4=C(C=CC=C4OC)OC)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(2,4-difluorophenyl)-3-(2,6-dimethoxyphenyl)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.0316,0.0123,0.033
222,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1C(CN4)C4=CC(=CC(=C4)OC)OC)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(2,4-difluorophenyl)-3-(3,5-dimethoxyphenyl)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.17,0.0294,0.16
223,C(C)(C)(C)C=1C=C(C=C(C1)C(C)(C)C)C1CNC2=C3C1N(C=C3C=C(C3=C2C(N(C=C3)C)=O)CS(=O)(=O)C)C3=C(C=C(C=C3)F)F,"3-(3,5-di-tert-butylphenyl)-4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,> 0.238,> 0.408,ND
224,COC(NC1CCC(CC1)N1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CS(=O)(=O)C)=O,"methyl(4-(10-methyl-7-((methylsulfonyl)methyl)-11-oxo-10,11-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen4(3H)-yl)cyclohexyl)carbamate",G,0.00164,0.0014,0.00584
225,COC(N[C@@H]1CC[C@H](CC1)N1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CS(=O)(=O)C)=O,"methyl((trans)-4-(10-methyl-7-((methylsulfonyl)methyl)-11-oxo-10,11-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen4(3H)-yl)cyclohexyl)carbamate",G,0.00325,0.00239,0.0122
226,COC(N[C@@H]1CC[C@@H](CC1)N1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CS(=O)(=O)C)=O,"methyl((cis)-4-(10-methyl-7-((methylsulfonyl)methyl)-11-oxo-10,11-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-4(3H)-yl)cyclohexyl)carbamate",G,0.00384,0.00186,0.00782
227,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1C(CN4)CCN4C(C1=CC=CC=C1C4=O)=O)C(N(C=C3)C)=O)CS(=O)(=O)C,"2-(2-(4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulen-3-yl)ethyl)isoindoline-1,3-dione",G,0.00794,0.00118,0.134
228,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1C(CN4)C4CCOCC4)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-3-(tetrahydro-2H-pyran-4-yl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.0245,0.00222,0.0849
229,C(C1=CC=CC=C1)OC(NCCC1CNC2=C3C1N(C=C3C=C(C3=C2C(N(C=C3)C)=O)CS(=O)(=O)C)C3=C(C=C(C=C3)F)F)=O,"benzyl(2-(4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulen-3-yl)ethyl)carbamate",G,0.00411,0.00196,0.0412
230,C1(=C(C=CC=C1)C1CNC2=C3C1N(C=C3C=C(C3=C2C(N(C=C3)C)=O)CS(=O)(=O)C)C3=C(C=C(C=C3)F)F)C3=CC=CC=C3,"3-([1,1’-biphenyl]-2-yl)-4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,> 0.238,0.0581,0.528
231,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1C(CN4)C=4C=CC=C1C=CC=NC41)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-3-(quinolin-8-yl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.039,0.00542,0.149
232,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1C(CN4)C4=NC=CC=C4)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-3-(pyridin-2-yl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.108,0.00848,0.363
233,CN1C=CC2=C(C3=C4C(N(C=C4C=C2CS(=O)(=O)C)C=2C=C4C=NN(C4=CC2)COCC[Si](C)(C)C)CCN3)C1=O,"10-methyl-7-((methylsulfonyl)methyl)-4-(1-((2-(trimethylsilyl)ethoxy)methyl)-1H-indazol-5-yl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00615,0.00377,ND
234,N1(C=NC=C1)C1=CC=C(C=C1)C1CNC2=C3C1N(C=C3C=C(C3=C2C(N(C=C3)C)=O)CS(=O)(=O)C)C3=C(C=C(C=C3)F)F,"3-(4-(1H-imidazol-1-yl)phenyl)-4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.0103,0.0094,> 1
235,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1C(CN4)C4=CC=C(C#N)C=C4)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulen-3-yl)benzonitrile",G,0.0161,0.00651,0.162
236,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1C(CN4)C4=CC(=CC=C4)C4=NC=CC=C4)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-3-(3-(pyridin-2-yl)phenyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.0859,0.03,> 1
237,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1C(CN4)C=4C=C(C#N)C=CC4)C(N(C=C3)C)=O)CS(=O)(=O)C,"3-(4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulen-3-yl)benzonitrile",G,0.0218,0.0121,0.313
238,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1C(CN4)CN4C(C=CC=C4)=O)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-3-((2-oxopyridin-1(2H)-yl)methyl)-3,4-dihydro-1H-1,4,10triazadibenzo[cd,f]azulen-11(10H)-one",G,0.0621,0.0046,0.275
239,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1C(C(N4)C(NCC)=O)C(=O)OCC)C(N(C=C3)C)=O)CS(=O)(=O)C,"ethyl 4-(2,4-difluorophenyl)-2-(ethylcarbamoyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H1,4,10-triazadibenzo[cd,f]azulene-3-carboxylate",G,0.0319,0.00212,0.294
240,FC1=C(C=CC(=C1)F)N1C(=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CS(=O)(=O)C)C(=O)N,"4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulene-5-carboxamide",G,0.00314,0.00193,0.0859
241,FC1=C(C=CC(=C1)F)N1C(=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CS(=O)(=O)C)C(=O)NC,"4-(2,4-difluorophenyl)-N,10-dimethyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulene-5-carboxamide",G,0.00307,0.00176,0.0515
242,FC1=C(C=CC(=C1)F)N1C(=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CS(=O)(=O)C)C(=O)N(C)C,"4-(2,4-difluorophenyl)-N,N,10-trimethyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulene-5-carboxamide",G,0.0126,0.00378,> 1
243,CN1C=CC2=C(C3=C4C(N(C=C4C=C2CS(=O)(=O)C)C2CCC(CC2)NC(C)=O)CCN3)C1=O,"N-(4-(10-methyl-7-((methylsulfonyl)methyl)-11-oxo-10,11-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-4(3H)-yl)cyclohexyl)acetamide",G,0.00185,0.00347,0.153
244,CN1C=CC2=C(C3=C4C(N(C=C4C=C2CS(=O)(=O)C)C=2C=NC=CC2)CCN3)C1=O,"10-methyl-7-((methylsulfonyl)methyl)-4-(pyridin-3-yl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00043,0.00102,0.00213
245,ClC=1C=CC(=NC1)N1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(5-chloropyridin-2-yl)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen11(10H)-one",G,0.00054,0.00094,0.00109
246,,"4-(1H-indazo1-5-yl)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00432,0.0036,0.0117
247,C(C1=CC=CC=C1)N1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-benzyl-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00222,0.00242,0.00494
248,CN1C=CC2=C(C3=C4C(N(C=C4C=C2CS(=O)(=O)C)C=2C=NC=NC2)CCN3)C1=O,"10-methyl-7-((methylsulfonyl)methyl)-4-(pyrimidin-5-yl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00339,0.00329,0.0256
249,CN1C=CC2=C(C3=C4C(N(C=C4C=C2CS(=O)(=O)C)CC2=NC=CC=C2)CCN3)C1=O,"10-methyl-7-((methylsulfonyl)methyl)-4-(pyridin-2-ylmethyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.0061,0.0191,0.0177
250,CN1C=CC2=C(C3=C4C(N(C=C4C=C2CS(=O)(=O)C)CC=2N=NC=CC2)CCN3)C1=O,"10-methyl-7-((methylsulfonyl)methyl)-4-(pyridazin-3-ylmethyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen11(10H)-one",G,0.0088,0.0225,0.845
251,,"(S)-4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-3-((2-oxopyridin-1(2H)-yl)methyl)-3,4-dihydro-1H1,4,10-triazadibenzo[azulen-11(10H)-one",G,> 0.238,0.142,ND
252,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1[C@H](CN4)CN4C(C=CC=C4)=O)C(N(C=C3)C)=O)CS(=O)(=O)C,"(R)-4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-3-((2-oxopyridin-1(2H)-yl)methyl)-3,4-dihydro-1H1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.0161,0.00224,0.108
253,CN1C=CC2=C(C3=C4C(N(C=C4C=C2CS(=O)(=O)C)C2=NC=C(C=C2)C(F)(F)F)CCN3)C1=O,"10-methyl-7-((methylsulfonyl)methyl)-4-(5-(trifluoromethyl)pyridin-2-yl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.0007,0.00118,0.0013
254,FC1=NC=CC(=C1)N1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(2-fluoropyridin-4-yl)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen11(10H)-one",G,0.00112,0.00071,0.0039
255,CN1C=CC2=C(C3=C4C(N(C=C4C=C2CS(=O)(=O)C)CC2=NN(C=C2)C)CCN3)C1=O,"10-methyl-4-((1-methyl-1H-pyrazol-3-yl)methyl)-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00453,0.00733,0.0343
256,COC1=CC=CC(=N1)N1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(6-methoxypyridin-2-yl)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00059,0.00054,0.00035
257,CC(CN1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CS(=O)(=O)C)(CN3CCOCC3)C,"4-(2,2-dimethyl-3-morpholinopropyl)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00234,0.00919,0.0211
258,FC=1C=NC(=NC1)N1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(5-fluoropyrimidin-2-yl)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00092,0.00239,0.00443
259,CN1C=CC2=C(C3=C4C(N(C=C4C=C2CS(=O)(=O)C)C2=NC=NC=C2)CCN3)C1=O,"10-methyl-7-((methylsulfonyl)methyl)-4-(pyrimidin-4-yl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.0034,0.00305,0.019
260,CN(CCCOC1=C(CN2C=C3C=C(C4=C(C5=C3C2CCN5)C(N(C=C4)C)=O)CS(=O)(=O)C)C=CC=C1)C,"4-(2-(3-(dimethylamino)propoxy)benzyl)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00726,0.0034,0.219
261,CN1C=CC2=C(C3=C4C(N(C=C4C=C2CS(=O)(=O)C)C(C#N)C2=CC=CC=C2)CCN3)C1=O,"2-(10-methyl-7-((methylsulfonyl)methyl)-11-oxo-10,11-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-4(3H)-yl)-2-phenylacetonitrile",G,0.00932,0.00778,> 1.0
262,CN1C=CC2=C(C3=C4C(N(C=C4C=C2CS(=O)(=O)C)CC2=C(OCC(=O)N)C=CC=C2)CCN3)C1=O,"2-(2-((10-methyl-7-((methylsulfonyl)methyl)-11-oxo-10,11-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-4(3H)-yl)methyl)phenoxy)acetamide",G,0.00937,0.0132,ND
263,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1CC(N4)C(=O)O)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulene-2-carboxylic acid",G,0.00704,0.00807,>1.0
264,CN1C=CC2=C(C3=C4C(N(C=C4C=C2CS(=O)(=O)C)CC2=C(C=CC=C2)OCC2=NC=CC=C2)CCN3)C1=O,"10-methyl-7-((methylsulfonyl)methyl)-4-(2-(pyridin-2-ylmethoxy)benzyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00697,0.00153,0.899
265,C(C)S(=O)(=O)C=1C2=C(C3=C4[C@H](N(C=C4C1)C(C)C1=CC=CC=C1)CCN3)C(N(C=C2)C)=O,"(R)-7-(ethylsulfonyl)-10-methyl-4-(1-phenylethyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.0256,0.00421,0.17
266,CN1C=CC2=C(C3=C4C(N(N=C4C=C2S(=O)(=O)N2CCCC2)C2=NC=CC=C2)CCN3)C1=O,"10-methyl-4-(pyridin-2-yl)-7-(pyrrolidin-1-ylsulfonyl)-3,4-dihydro-1H-1,4,5,10-tetraazadibenzo[cd,f]azulen-11(10H)-one",G,0.0178,0.00815,0.0427
267,C(C)S(=O)(=O)C=1C2=C(C3=C4[C@@H](N(C=C4C1)C(C)C1=CC=CC=C1)CCN3)C(N(C=C2)C)=O,"(S)-7-(ethylsulfonyl)-10-methyl-4-(1-phenylethyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.0727,0.0947,ND
268,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1[C@@H](CN4)CCC(=O)OC)C(N(C=C3)C)=O)CS(=O)(=O)C,"(R)-methyl 3-(4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulen-3-yl)propanoate",G,0.0828,0.0164,ND
269,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1[C@H](CN4)CCC(=O)OC)C(N(C=C3)C)=O)CS(=O)(=O)C,"(S)-methyl 3-(4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulen-3-yl)propanoate",G,0.00569,0.00092,ND
270,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1CC(N4)C=4C=NN(C4)C)C(N(C=C3)C)=O)S(=O)(=O)C,"4-(2,4-difluorophenyl)-10-methyl-2-(1-methyl-1H-pyrazol-4-yl)-7-(methylsulfonyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.011,0.00335,0.0807
271,ClC1=CC=C(C=C1)N1C=C2C=C(C3=C(C4=C2C1CC(N4)C=4C=NN(C4)C)C(N(C=C3)C)=O)S(=O)(=O)C,"4-(4-chlorophenyl)-10-methyl-2-(1-methyl-1H-pyrazol-4-yl)-7-(methylsulfonyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00391,0.00164,0.0852
272,C(C)NC(=O)[C@@H]1NC2=C3C(N(C=C3C=C(C3=C2C(N(C=C3)C)=O)S(=O)(=O)CC)C(CC)C3=CC=CC=C3)C1,"(R)-N-ethyl-7-(ethylsulfonyl)-10-methyl-11-oxo-4-(1-phenylpropyl)-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulene-2-carboxamide",G,0.0589,0.00635,ND
273,CN1C=CC2=C(C3=C4C(N(C=C4C=C2CS(=O)(=O)C)C2=NC=CC=C2)CC(N3)C=3C=NN(C3)C)C1=O,"10-methyl-2-(1-methyl-1H-pyrazol-4-yl)-7-((methylsulfonyl)methyl)-4-(pyridin-2-yl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00112,0.00088,ND
274,CN1C=CC2=C(C3=C4C(N(C=C4C=C2S(=O)(=O)C)C2=CC=CC=C2)CC(N3)C=3C=NN(C3)C)C1=O,"10-methyl-2-(1-methyl-1H-pyrazol-4-yl)-7-(methylsulfonyl)-4-phenyl-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen11(10H)-one",G,0.00283,0.00156,ND
275,CN1C=CC2=C(C3=C4C(N(C=C4C=C2S(=O)(=O)C)C2=NC=CC=C2)CC(N3)C=3C=NN(C3)C)C1=O,"10-methyl-2-(1-methyl-1H-pyrazol-4-yl)-7-(methylsulfonyl)-4-(pyridin-2-yl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00209,0.00085,ND
276,FC1=CC=C(C=C1)N1C=C2C=C(C3=C(C4=C2C1CC(N4)C=4C=NN(C4)C)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(4-fluorophenyl)-10-methyl-2-(1-methyl-1H-pyrazol-4-yl)-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00119,0.00118,ND
