Example_Number,SMILES,Chemical_Name,TR-FRET assay protocol,Ki_BDI_uM,Ki_BDII_uM,Cellular proliferation: EC50 (μM)
96,CN1C=CC2=C(C3=C4C(N(C=C4C=C2CS(=O)(=O)C)C(=O)OCCF)CCN3)C1=O,"2-fluoroethyl 10-methyl-7-((methylsulfonyl)methyl)-11-oxo-10,11-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulene-4(3H)-carboxylate",G,0.00346,0.00161,ND
97,CN1C=CC2=C(C3=C4C(N(C=C4C=C2CS(=O)(=O)C)C(=O)OC2=CC=C(C=C2)OC)CCN3)C1=O,"4-methoxyphenyl 10-methyl-7-((methylsulfonyl)methyl)-11-oxo-10,11-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulene-4(3H)-carboxylate",G,0.00321,0.00135,ND
98,,"but-2-yn-1-yl 10-methyl-7-((methylsulfbnyl)methyl)-11-oxo-10,11-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulene4(3H)-carboxylate",G,0.00234,0.00315,0.00441
99,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1C(CN4)CCC(=O)N)C(N(C=C3)C)=O)CS(=O)(=O)C,"3-(4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulen-3-yl)propanamide",G,0.0155,0.00166,0.165
100,FC1=CC=C(C(=O)N2C=C3C=C(C4=C(C5=C3C2CCN5)C(N(C=C4)C)=O)CS(=O)(=O)C)C=C1,"4-(4-fluorobenzoyl)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.0298,0.00741,ND
101,COCCC(=O)N1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(3-methoxypropanoyl)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00483,0.00277,ND
102,C1(=CC=C(C=C1)C(=O)N1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CS(=O)(=O)C)C3=CC=CC=C3,"4-([1,1’-biphenyl]-4-carbonyl)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00941,0.0269,0.151
103,C1(CCCC1)CCC(=O)N1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(3-cyclopentylpropanoyl)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen11(10H)-one",G,0.00812,0.00471,ND
104,COC=1C=C(C=CC1)CC(=O)N1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(2-(3-methoxyphenyl)acetyl)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.0347,0.0262,ND
105,CN1C=CC2=C(C3=C4C(N(C=C4C=C2CS(=O)(=O)C)C(CC)=O)CCN3)C1=O,"10-methyl-7-((methylsulfonyl)methyl)-4-propionyl-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00549,0.00268,0.0162
106,CN1C=CC2=C(C3=C4C(N(C=C4C=C2CS(=O)(=O)C)C(CC(C)C)=O)CCN3)C1=O,"10-methyl-4-(3-methylbutanoyl)-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00589,0.00191,0.0192
107,CC(CC(=O)N1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CS(=O)(=O)C)(C)C,"4-(3,3-dimethylbutanoyl)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00642,0.00379,0.00704
108,CN1C=CC2=C(C3=C4C(N(C=C4C=C2CS(=O)(=O)C)C(CC2=CC=CC=C2)=O)CCN3)C1=O,"10-methyl-7-((methylsulfonyl)methyl)-4-(2-phenylacetyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.0139,0.00211,0.165
109,C(C1=CC=CC=C1)(=O)N1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-benzoyl-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.0641,0.0156,ND
110,COC1=CC=C(C(=O)N2C=C3C=C(C4=C(C5=C3C2CCN5)C(N(C=C4)C)=O)CS(=O)(=O)C)C=C1,"4-(4-methoxybenzoyl)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen11(10H)-one",G,0.0417,0.0199,ND
